id,title,fileName,createdAt,updatedAt
1,짜랑고우거레전드,Gen9NationalDex-2023-09-27-tenalek-hhhhhhnjlvispix1695787232525.ejs,"2023-09-27 04:00:32","2023-09-27 04:00:32"
2,1일1샘플싸리용,싸리용vispix1695787495776.ejs,"2023-09-27 04:04:55","2023-09-27 04:04:55"
4,9월한달의우승자결승,Gen9NationalDexAG-2023-09-28-quokkadayo-xerneas9050vispix1695909014308.ejs,"2023-09-28 13:50:14","2023-09-28 13:50:14"
5,9월4주차한주의우승자결승,Gen9NationalDexAG-2023-09-28-ggugguba-ckcake1vispix1695909123220.ejs,"2023-09-28 13:52:03","2023-09-28 13:52:03"
7,10월1주차한주의우승자결승,Gen9NationalDexAG-2023-10-05-orblich155-xerneas9050vispix1696512961247.ejs,"2023-10-05 13:36:01","2023-10-05 13:36:01"
8,1일1샘플오거폰-화덕의가면,Gen9NationalDexAG-2023-10-08-nonke-bangevispix1696736544710.ejs,"2023-10-08 03:42:24","2023-10-08 03:42:24"
9,날개쉬기엠페르트,Gen9NationalDexAG-2023-10-08-nonke-dkrdkr(1)vispix1696745798817.ejs,"2023-10-08 06:16:38","2023-10-08 06:16:38"
10,1일1샘플조타구,Gen9NationalDexAG-2023-10-08-nonke-dkrdkrvispix1696746079309.ejs,"2023-10-08 06:21:19","2023-10-08 06:21:19"
11,1일1샘플드닐레이브,Gen9NationalDexAG-2023-10-08-nonke-dkjkfnajfsvispix1696763472703.ejs,"2023-10-08 11:11:12","2023-10-08 11:11:12"
12,1일1샘플기로치,Gen9NationalDexAG-2023-10-09-nonke-povma2467vispix1696783601022.ejs,"2023-10-08 16:46:41","2023-10-08 16:46:41"
13,1일1샘플물거폰,Gen9NationalDexAG-2023-10-09-nonke-uploadragonvispix1696821745766.ejs,"2023-10-09 03:22:25","2023-10-09 03:22:25"
14,1일1샘플그우린차,Gen9NationalDexAG-2023-10-08-ihatethisfkgames-nonkevispix1696822311154.ejs,"2023-10-09 03:31:51","2023-10-09 03:31:51"
15,1일1샘플과미르,Gen9NationalDexAG-2023-10-09-thelastfirered-nonkevispix1696822496167.ejs,"2023-10-09 03:34:56","2023-10-09 03:34:56"
16,1일1샘플풀거폰,Gen9NationalDexAG-2023-10-09-nonke-quokkadayovispix1696823343416.ejs,"2023-10-09 03:49:03","2023-10-09 03:49:03"
17,1일1샘플기로치2,Gen9NationalDexAG-2023-10-09-nonke-quokkadayo(2)vispix1696824292760.ejs,"2023-10-09 04:04:52","2023-10-09 04:04:52"
18,1일1샘플돌거폰,Gen9NationalDexAG-2023-10-09-nonke-igeuvispix1696833750161.ejs,"2023-10-09 06:42:30","2023-10-09 06:42:30"
19,1일1샘플달투곰,Gen9NationalDexAG-2023-10-09-nonke-dkrdkrvispix1696836430418.ejs,"2023-10-09 07:27:10","2023-10-09 07:27:10"
20,1일1샘플이야후,Gen9NationalDexAG-2023-10-09-nonke-kafkamam(1)vispix1696839877644.ejs,"2023-10-09 08:24:37","2023-10-09 08:24:37"
21,10월2주차한주의우승자결승,Gen9NationalDexAG-2023-10-12-shanksidai-orblich155vispix1697117854552.ejs,"2023-10-12 13:37:34","2023-10-12 13:37:34"
22,1일1샘플조타구2,Gen9NationalDexAG-2023-10-18-caelestia-nonkevispix1697640067324.ejs,"2023-10-18 14:41:07","2023-10-18 14:41:07"
23,10월3주차한주의우승자결승,Gen9NationalDexAG-2023-10-19-bange-dhwnavispix1697722489119.ejs,"2023-10-19 13:34:49","2023-10-19 13:34:49"
24,다꼬리테스트,Gen9NationalDexAG-2023-10-22-xerneas9050-nonkevispix1697952523709.ejs,"2023-10-22 05:28:43","2023-10-22 05:28:43"
25,10월4주차한주의우승자결승,Gen9NationalDexAG-2023-10-26-dhwna-shanksidai(1)vispix1698327980048.ejs,"2023-10-26 13:46:20","2023-10-26 13:46:20"
26,10월한달의우승자결승,Gen9NationalDexAG-2023-10-26-dhwna-shanksidaivispix1698328003570.ejs,"2023-10-26 13:46:43","2023-10-26 13:46:43"
27,라우드본레전드,Gen9NationalDexAG-2023-10-31-nonke-shanksidai(1)vispix1698761045007.ejs,"2023-10-31 14:04:05","2023-10-31 14:04:05"
28,11월1주차한주의우승자결승,Gen9NationalDexAG-2023-11-02-orblich155-tnddl6974vispix1698931493846.ejs,"2023-11-02 13:24:53","2023-11-02 13:24:53"
29,11월2주차한주의우승자결승,Gen9NationalDexAG-2023-11-09-dhwna-xerneas9050vispix1699537124151.ejs,"2023-11-09 13:38:44","2023-11-09 13:38:44"
30,고아vs오줌탈갤빵,Gen9NationalDexAG-2023-11-13-exqtickai-nnaavveerrvispix1699882974480.ejs,"2023-11-13 13:42:54","2023-11-13 13:42:54"
31,11월3주차한주의우승자결승,Gen9NationalDexAG-2023-11-16-tnddl6974-buzesilhvispix1700141465699.ejs,"2023-11-16 13:31:05","2023-11-16 13:31:05"
32,11월4주차한주의우승자결승,Gen9NationalDexAG-2023-11-23-orblich155-xerneas9050vispix1700746458725.ejs,"2023-11-23 13:34:18","2023-11-23 13:34:18"
33,11월한달의우승자결승,Gen9NationalDexAG-2023-11-23-dhwna-tnddl6974vispix1700747752040.ejs,"2023-11-23 13:55:52","2023-11-23 13:55:52"
34,11월5주차한주의우승자결승,Gen9NationalDexAG-2023-11-30-orblich155-exqtickaivispix1701351079716.ejs,"2023-11-30 13:31:19","2023-11-30 13:31:19"
35,메침붕레전드,Gen9NationalDexAG-2023-12-06-snommmm-quokkadayovispix1701855313543.ejs,"2023-12-06 09:35:13","2023-12-06 09:35:13"
36,12월1주차한주의우승자결승,Gen9NationalDexAG-2023-12-07-xerneas9050-nobaaksavispix1701955593575.ejs,"2023-12-07 13:26:33","2023-12-07 13:26:33"
37,올리르바_활약상,Gen9NationalDexAG-2023-12-07-buzesilh-xerneas9050vispix1701956644263.ejs,"2023-12-07 13:44:04","2023-12-07 13:44:04"
39,껍질몬을죽이는방법,Gen9NationalDexAG-2023-12-10-nonke-dhwnavispix1702269769336.ejs,"2023-12-11 04:42:49","2023-12-11 04:42:49"
